front seat
back seat
steering wheel
car stereo
cigarette lighter
gear stick
hand brake
brake pedal
clutch pedal
accelerator pedal
horn
air bag
driver
passenger
dashboard
air conditioner
car window
seatbelt
sunroof
rear view mirror
